,Unnamed: 0.1,Unnamed: 0,company_name,sector,financial_risk_profile,circa_rating,business_description,ffo_to_debt_ltm,debt_to_ebitda_ltm,cfo_to_debt_ltm,focf_to_debt_ltm,dcf_to_debt_ltm,ffo_interest_coverage_ltm,ebitda_to_interest_ltm,ebit_margin_ltm,ebitda_margin_ltm,return_on_capital_ltm,ticker
0,0,0,AAR Corp.,AEROSPACE & DEFENSE,[3] Intermediate,[3] Intermediate risk,"AAR Corp. provides products and services to commercial aviation, government, and defense markets worldwide.",0.18,1.31,0.23,0.11,0.11,2.93,10.3,7.25,8.7,7.05,AIR
1,1,1,Boeing Co.,AEROSPACE & DEFENSE,[4] Significant,[3] Intermediate risk,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sells, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide.",0.11,10.6,0.16,0.12,0.13,2.42,1.47,1.66,4.05,2.03,BA
2,2,2,BWX Technologies Inc.,AEROSPACE & DEFENSE,[4] Significant,[3] Intermediate risk,"BWX Technologies, Inc., together with its subsidiaries, manufactures and sells nuclear components in the United States, Canada, and internationally.",0.19,3.44,0.2,0.07,0.14,5.35,8.05,12.2,15.3,8.53,BWXT
3,3,3,CACI International Inc.,AEROSPACE & DEFENSE,[3] Intermediate,[3] Intermediate risk,"CACI International Inc, together with its subsidiaries, provides expertise and technology to enterprise and mission customers in support of national security missions and government modernization/transformation in the intelligence, defense, and federal civilian sectors.",0.15,2.42,0.17,0.13,0.36,3.2,8.06,8.06,10.0,6.87,CACI
4,4,4,General Dynamics Corp.,AEROSPACE & DEFENSE,[3] Intermediate,[3] Intermediate risk,General Dynamics Corporation operates as an aerospace and defense company worldwide.,0.42,1.84,0.51,0.41,0.62,11.8,12.5,8.77,10.8,7.35,GD
5,5,5,Hexcel Corp.,AEROSPACE & DEFENSE,[3] Intermediate,[3] Intermediate risk,"Hexcel Corporation develops, manufactures, and markets carbon fibers, structural reinforcements, honeycomb structures, resins, and composite materials and parts for use in commercial aerospace, space and defense, and industrial applications.",0.35,1.41,0.51,0.3,0.44,7.56,10.5,12.0,19.0,5.64,HXL
6,6,6,Howmet Aerospace Inc.,AEROSPACE & DEFENSE,[4] Significant,[3] Intermediate risk,"Howmet Aerospace Inc. provides advanced engineered solutions for the aerospace and transportation industries in the United States, Japan, France, Germany, the United Kingdom, Mexico, Italy, Canada, Poland, China, and internationally.",0.24,2.12,0.28,0.21,0.33,4.13,6.97,17.8,21.9,9.41,HWM
7,7,7,Huntington Ingalls Industries Inc.,AEROSPACE & DEFENSE,[3] Intermediate,[3] Intermediate risk,"Huntington Ingalls Industries, Inc. designs, builds, overhauls, and repairs military ships in the United States.",0.36,1.84,0.42,0.3,0.42,10.2,13.1,6.74,9.77,7.14,HII
8,8,8,Kaman Corp.,AEROSPACE & DEFENSE,[4] Significant,[3] Intermediate risk,"Kaman Corporation, together with its subsidiaries, operates in the aerospace, defense, medical, and industrial markets.",0.13,4.86,0.14,0.09,0.13,1.82,2.75,7.13,13.6,2.75,KAMN
9,9,9,KBR Inc.,AEROSPACE & DEFENSE,[4] Significant,[3] Intermediate risk,"KBR, Inc. provides scientific, technology, and engineering solutions to governments and commercial customers worldwide.",0.16,2.07,0.19,0.14,0.26,2.88,7.45,6.97,8.34,8.56,KBR
